[2025-04-01 02:44:08,595]: repeat 1/3
[2025-04-01 02:44:08,595]: Manual random seed:0
[2025-04-01 02:44:08,596]: auto fixed data split seed to 0, model init seed to 0
[2025-04-01 02:44:08,602]: [Dataset-Wisconsin] train_num:120, val_num:80, test_num:51, class_num:5
[2025-04-01 02:44:08,641]: Epoch: 001, Loss:1.6921 Train: 0.4250, Val:0.5125, Test: 0.5294, Time(s/epoch):0.0131
[2025-04-01 02:44:08,646]: Epoch: 002, Loss:1.9859 Train: 0.5833, Val:0.4625, Test: 0.4314, Time(s/epoch):0.0049
[2025-04-01 02:44:08,652]: Epoch: 003, Loss:1.3584 Train: 0.6333, Val:0.4875, Test: 0.4314, Time(s/epoch):0.0058
[2025-04-01 02:44:08,658]: Epoch: 004, Loss:1.1538 Train: 0.6583, Val:0.5000, Test: 0.4902, Time(s/epoch):0.0063
[2025-04-01 02:44:08,665]: Epoch: 005, Loss:1.0602 Train: 0.6750, Val:0.5000, Test: 0.5098, Time(s/epoch):0.0064
[2025-04-01 02:44:08,672]: Epoch: 006, Loss:1.0910 Train: 0.6750, Val:0.4875, Test: 0.4902, Time(s/epoch):0.0069
[2025-04-01 02:44:08,679]: Epoch: 007, Loss:1.0487 Train: 0.6833, Val:0.4875, Test: 0.4510, Time(s/epoch):0.0075
[2025-04-01 02:44:08,687]: Epoch: 008, Loss:0.9404 Train: 0.6917, Val:0.4750, Test: 0.4706, Time(s/epoch):0.0072
[2025-04-01 02:44:08,694]: Epoch: 009, Loss:0.9468 Train: 0.6667, Val:0.4875, Test: 0.4510, Time(s/epoch):0.0072
[2025-04-01 02:44:08,701]: Epoch: 010, Loss:0.8333 Train: 0.6833, Val:0.4625, Test: 0.4510, Time(s/epoch):0.0072
[2025-04-01 02:44:08,708]: Epoch: 011, Loss:0.8996 Train: 0.7167, Val:0.4750, Test: 0.4706, Time(s/epoch):0.0066
[2025-04-01 02:44:08,715]: Epoch: 012, Loss:0.7880 Train: 0.7333, Val:0.5125, Test: 0.4706, Time(s/epoch):0.0062
[2025-04-01 02:44:08,720]: Epoch: 013, Loss:0.8421 Train: 0.7500, Val:0.4875, Test: 0.4706, Time(s/epoch):0.0055
[2025-04-01 02:44:08,727]: Epoch: 014, Loss:0.7808 Train: 0.7583, Val:0.4625, Test: 0.4706, Time(s/epoch):0.0067
[2025-04-01 02:44:08,734]: Epoch: 015, Loss:0.8006 Train: 0.7500, Val:0.4500, Test: 0.3725, Time(s/epoch):0.0072
[2025-04-01 02:44:08,741]: Epoch: 016, Loss:0.6911 Train: 0.6917, Val:0.3750, Test: 0.3922, Time(s/epoch):0.0062
[2025-04-01 02:44:08,749]: Epoch: 017, Loss:0.7681 Train: 0.6833, Val:0.2875, Test: 0.3137, Time(s/epoch):0.0082
